testcat, modules, coeffset, cstruct, target, cfgstr, max-shift, wsize-in, freq, clbs, luts, ffs, dsps, fmax, logic-levels, power (total), power (static), power (dynamic)
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 8, 600, 9, 12, 19, 0, 632.51, 3  (CARRY4=2 LUT6=1), 0.692, 0.637, 0.055
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 10, 200, 8, 14, 23, 0, 581.06, 3  (CARRY4=2 LUT6=1), 0.657, 0.636, 0.021
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 10, 400, 8, 14, 23, 0, 628.93, 4  (CARRY4=3 LUT6=1), 0.679, 0.637, 0.042
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 10, 600, 12, 14, 23, 0, 660.50, 3  (CARRY4=2 LUT6=1), 0.701, 0.637, 0.064
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 12, 200, 8, 16, 27, 0, 598.80, 4  (CARRY4=3 LUT6=1), 0.660, 0.636, 0.024
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 12, 400, 8, 16, 27, 0, 597.01, 5  (CARRY4=4 LUT6=1), 0.685, 0.637, 0.048
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 12, 600, 12, 16, 27, 0, 685.40, 4  (CARRY4=3 LUT6=1), 0.710, 0.637, 0.073
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 16, 200, 11, 20, 35, 0, 560.85, 2  (CARRY4=1 LUT6=1), 0.667, 0.636, 0.030
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 16, 400, 11, 20, 35, 0, 585.82, 2  (CARRY4=1 LUT6=1), 0.697, 0.637, 0.060
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B456c-02-0, 2, 16, 600, 15, 20, 35, 0, 671.14, 6  (CARRY4=5 LUT6=1), 0.728, 0.637, 0.091
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 4, 200, 5, 8, 11, 0, 635.32, 3  (CARRY4=2 LUT6=1), 0.649, 0.636, 0.012
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 4, 600, 7, 8, 11, 0, 672.49, 3  (CARRY4=2 LUT6=1), 0.674, 0.637, 0.038
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 4, 400, 5, 8, 11, 0, 686.81, 3  (CARRY4=2 LUT6=1), 0.661, 0.636, 0.025
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 5, 200, 5, 9, 13, 0, 708.72, 2  (CARRY4=1 LUT6=1), 0.650, 0.636, 0.014
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 5, 600, 8, 9, 13, 0, 707.71, 3  (CARRY4=2 LUT6=1), 0.679, 0.637, 0.042
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 5, 400, 5, 9, 13, 0, 729.93, 3  (CARRY4=2 LUT6=1), 0.664, 0.636, 0.028
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 6, 200, 6, 10, 15, 0, 686.34, 3  (CARRY4=2 LUT6=1), 0.652, 0.636, 0.015
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 6, 400, 6, 10, 15, 0, 660.94, 3  (CARRY4=2 LUT6=1), 0.667, 0.636, 0.031
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 6, 600, 10, 10, 15, 0, 693.96, 3  (CARRY4=2 LUT6=1), 0.683, 0.637, 0.047
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 7, 200, 7, 11, 17, 0, 592.77, 4  (CARRY4=3 LUT6=1), 0.653, 0.636, 0.017
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 7, 400, 7, 11, 17, 0, 627.75, 4  (CARRY4=3 LUT6=1), 0.671, 0.636, 0.034
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 7, 600, 9, 11, 17, 0, 764.53, 4  (CARRY4=3 LUT6=1), 0.688, 0.637, 0.051
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 8, 200, 7, 12, 19, 0, 643.92, 3  (CARRY4=2 LUT6=1), 0.655, 0.636, 0.018
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 8, 400, 7, 12, 19, 0, 643.92, 3  (CARRY4=2 LUT6=1), 0.674, 0.637, 0.037
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 8, 600, 11, 12, 19, 0, 805.80, 3  (CARRY4=2 LUT6=1), 0.693, 0.637, 0.056
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 10, 200, 9, 14, 23, 0, 643.92, 3  (CARRY4=2 LUT6=1), 0.658, 0.636, 0.022
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 10, 400, 9, 14, 23, 0, 643.92, 3  (CARRY4=2 LUT6=1), 0.680, 0.637, 0.043
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 10, 600, 14, 14, 23, 0, 665.78, 3  (CARRY4=2 LUT6=1), 0.702, 0.637, 0.065
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 12, 200, 7, 16, 27, 0, 592.07, 4  (CARRY4=3 LUT6=1), 0.661, 0.636, 0.025
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 12, 400, 7, 16, 27, 0, 628.14, 4  (CARRY4=3 LUT6=1), 0.686, 0.637, 0.049
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 12, 600, 15, 16, 27, 0, 630.12, 5  (CARRY4=4 LUT6=1), 0.711, 0.637, 0.074
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 16, 200, 11, 20, 35, 0, 571.43, 5  (CARRY4=4 LUT6=1), 0.667, 0.636, 0.031
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 16, 400, 11, 20, 35, 0, 614.25, 5  (CARRY4=4 LUT6=1), 0.698, 0.637, 0.062
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B035c-12-0, 2, 16, 600, 14, 20, 35, 0, 662.25, 6  (CARRY4=5 LUT6=1), 0.730, 0.637, 0.093
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 4, 200, 5, 8, 11, 0, 666.67, 3  (CARRY4=2 LUT6=1), 0.649, 0.636, 0.013
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 4, 600, 7, 8, 11, 0, 672.49, 3  (CARRY4=2 LUT6=1), 0.675, 0.637, 0.038
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 4, 400, 5, 8, 11, 0, 676.13, 3  (CARRY4=2 LUT6=1), 0.662, 0.636, 0.025
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 5, 600, 8, 9, 13, 0, 707.71, 3  (CARRY4=2 LUT6=1), 0.679, 0.637, 0.043
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 5, 400, 5, 9, 13, 0, 729.93, 3  (CARRY4=2 LUT6=1), 0.665, 0.636, 0.028
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 5, 200, 5, 9, 13, 0, 708.72, 2  (CARRY4=1 LUT6=1), 0.650, 0.636, 0.014
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 6, 200, 6, 10, 15, 0, 686.34, 3  (CARRY4=2 LUT6=1), 0.652, 0.636, 0.016
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 6, 400, 6, 10, 15, 0, 660.94, 3  (CARRY4=2 LUT6=1), 0.668, 0.636, 0.031
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 6, 600, 10, 10, 15, 0, 693.96, 3  (CARRY4=2 LUT6=1), 0.684, 0.637, 0.047
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 7, 200, 6, 11, 17, 0, 637.35, 4  (CARRY4=3 LUT6=1), 0.653, 0.636, 0.017
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 7, 400, 6, 11, 17, 0, 661.38, 2  (CARRY4=1 LUT6=1), 0.671, 0.636, 0.034
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 7, 600, 9, 11, 17, 0, 764.53, 4  (CARRY4=3 LUT6=1), 0.688, 0.637, 0.052
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 8, 200, 7, 12, 19, 0, 671.59, 3  (CARRY4=2 LUT6=1), 0.655, 0.636, 0.019
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B356c-12-0, 2, 8, 400, 7, 12, 19, 0, 643.92, 3  (CARRY4=2 LUT6=1), 0.674, 0.637, 0.037
